date,alipay_num,sales,goods_num,shops_num
2013-04,290667,7777486,-,-
2013-05,285216,8414294,-,-
2013-06,269869,7837486,-,-
2013-07,314849,8640901,-,-
2013-08,346134,9599773,-,-
2013-09,432849,11400201,-,-
2013-10,521740,13569333,-,-
2013-11,693690,18727089,-,-
2013-12,816154,16967478,-,-
2014-01,490133,10986259,-,-
2014-02,393103,10876898,-,-
2014-03,609526,17600250,-,-
2014-04,562381,16237442,-,-
2014-05,578778,17067488,-,-
2014-06,496865,15164253,-,-
2014-07,567218,17401341,-,-
2014-08,598358,19278545,-,-
2014-09,694852,21013905,-,-
2014-10,813984,23572512,-,-
2014-11,1070353,32484038,-,-
2014-12,929642,28533419,-,-
2015-01,879962,29548823,-,-
2015-02,401912,13773367,-,-
2015-03,1009502,34813154,-,-
2015-04,1020366,36206882,-,-
2015-05,1109881,41907836,-,-
2015-06,1085532,44721416,-,-
2015-07,1362990,60236055,-,-
2015-08,1593819,70967929,-,-
2015-09,1852492,74501641,-,-
2015-10,1863210,73778614,-,-
2015-11,2696726,107735609,-,-
2015-12,2969268,87894048,-,-
2016-01,2252856,76359686,-,-
2016-02,1207111,36500785,-,-
2016-03,2529631,78665642,-,-
2016-04,2223151,79235333,50816,16320
2016-05,2416426,86439665,49944,15745
2016-06,2320322,89048327,44981,13915
2016-07,2384019,93063834,44891,13175
2016-08,2546882,94714826,47953,13703
2016-09,2610168,91285142,44559,13185
2016-10,2915916,106664010,51050,14527
2016-11,3961603,143456813,49609,14316
2016-12,3148150,99196952,46234,13352
2017-01,2175111,75581783,42729,12403
2017-02,2372736,85143868,39186,11494
2017-03,3292701,118055474,37181,9507
2017-04,3117794,121763036,41154,10218
2017-05,2902331,105744090,45635,10762
2017-06,3280505,134716086,44423,10387
2017-07,2787535,110009073,43306,10064
2017-08,3446800,142669437,44605,10274
2017-09,3981998,164663281,44583,10444
2017-10,3750137,164845178,43979,10251
2017-11,5284851,240760161,44732,10443
2017-12,3849005,153185037,45248,10510
2018-01,3422645,137464847,47314,10800
2018-02,1963605,88664862,42824,10057
2018-03,3979398,162812672,44621,10360
2018-04,4032745,158728147,46347,10639
2018-05,3800060,153089813,48514,10832
2018-06,4302085,184279128,50369,11127
2018-07,3418987,145514747,50387,11182
2018-08,4055282,165052024,54586,11695
2018-09,4666163,196417790,49910,10715
2018-10,4587614,187568920,55905,11092
2018-11,7280008,340584468,56302,10971
2018-12,4935244,218331595,58444,11084
2019-01,3884309,182023104,65768,11545
